time,truth_east,truth_north,dr_east,dr_north
0.021999999999934516,0.0,0.0,0.0,0.0
0.12199999999984357,-0.14922504882137005,-1.5900874514270948,-0.1356320391976771,-1.5230144945034543
0.22200000000020736,-0.31201601118017075,-3.213533379657213,-0.26701009392769326,-3.045873508908752
0.3220000000001164,-0.4680240167551949,-4.836979308677418,-0.39481266123018094,-4.567873776979226
0.42099999999982174,-0.6240320223603415,-6.415947267310114,-0.5188257344485592,-6.074003861776875
0.5210000000001855,-0.7732570711817115,-7.961556747559611,-0.6424413800623833,-7.595574463744512
0.6210000000000946,-0.9021332497119967,-9.48492724222031,-0.7649936791326282,-9.118556162191608
0.7210000000000036,-1.051358298533367,-11.041656215264206,-0.8868053353438781,-10.644118340085289
0.8209999999999127,-1.180234477063652,-12.587265695513706,-1.0081409494962608,-12.173158461134587
0.9220000000000255,-1.3158936123475915,-14.13287517655329,-1.1305232527867461,-13.721465952682507
1.0219999999999345,-1.4583357044153074,-15.656245671213988,-1.251703739759481,-15.258244907939709
1.1219999999998436,-1.5872118829455926,-17.246333121850995,-1.3726403789362092,-16.79819315178401
1.2210000000000036,-1.716088061475878,-18.769703616511695,-1.4914719249513273,-18.32467618416845
1.3220000000001164,-1.838181283252509,-20.34867157593448,-1.6110149316169387,-19.88241259757904
1.4209999999998217,-1.9602745050140793,-21.883161563389574,-1.7260930312191067,-21.408125958725556
1.5219999999999345,-2.082367726775649,-23.428771043639074,-1.8411369774003787,-22.961890650055334
1.6210000000000946,-2.184112078246134,-24.95214153829977,-1.9516534869469764,-24.480821507247327
1.7210000000000036,-2.3062053000077043,-26.53110949614238,-2.0611253763561557,-26.00971359651908
1.8209999999999127,-2.4079496514932504,-28.054479992383254,-2.168662144573103,-27.53242087547909
1.9220000000000255,-2.523259916486105,-29.611208965427153,-2.275467165539941,-29.06386006138647
2.0210000000001855,-2.59787244089679,-31.13457946008785,-2.378276354721214,-30.55922385173687
2.1210000000000946,-2.6928338355985595,-32.64683046274424,-2.4797086437405658,-32.064842062548195
2.2220000000002074,-2.760663403255591,-34.14796197181614,-2.5791500975294293,-33.5817689092217
2.3220000000001164,-2.8488418411886456,-35.70469094486003,-2.6744847019687943,-35.08109810815322
2.4220000000000255,-2.875973668248445,-37.127986005951314,-2.7669752726067283,-36.57887323344094
2.5210000000001855,-2.943803235890415,-38.6624759941965,-2.8562798976134633,-38.0610586937118
2.6210000000000946,-3.0048498467787303,-40.185846488857194,-2.9447273786324843,-39.55809830286995
2.7210000000000036,-3.065896457667046,-41.75369495469549,-3.0317612357184323,-41.0546618214127
2.8209999999999127,-3.147291938846447,-43.33266291332819,-3.1173376881181025,-42.54951058641084
2.9209999999998217,-3.181206722674962,-44.84491391519449,-3.200975958197189,-44.04122254917277
