time,truth_east,truth_north,dr_east,dr_north
0.021999999999934516,0.0,0.0,0.0,0.0
0.12199999999984357,-0.14922504882137005,-1.5900874514270948,-0.13462465989597774,-1.5261459326539146
0.22200000000020736,-0.31201601118017075,-3.213533379657213,-0.26500955909862955,-3.0560010395666026
0.3220000000001164,-0.4680240167551949,-4.836979308677418,-0.39215810383347194,-4.589519997216881
0.42099999999982174,-0.6240320223603415,-6.415947267310114,-0.5158023439643971,-6.1116288218966766
0.5210000000001855,-0.7732570711817115,-7.961556747559611,-0.6405679786525357,-7.651667333299498
0.6210000000000946,-0.9021332497119967,-9.48492724222031,-0.764918385551081,-9.199022294421368
0.7210000000000036,-1.051358298533367,-11.041656215264206,-0.8884513978464992,-10.75343218417435
0.8209999999999127,-1.180234477063652,-12.587265695513706,-1.0115693873492901,-12.315060510830993
0.9220000000000255,-1.3158936123475915,-14.13287517655329,-1.1368977930195427,-13.900051049582576
1.0219999999999345,-1.4583357044153074,-15.656245671213988,-1.2612976979435973,-15.479308950086542
1.1219999999998436,-1.5872118829455926,-17.246333121850995,-1.3862146633250456,-17.06441627932802
1.2210000000000036,-1.716088061475878,-18.769703616511695,-1.5095911467240248,-18.639090004969244
1.3220000000001164,-1.838181283252509,-20.34867157593448,-1.634589900864776,-20.250974129862925
1.4209999999998217,-1.9602745050140793,-21.883161563389574,-1.7551899569566878,-21.834246296202746
1.5219999999999345,-2.082367726775649,-23.428771043639074,-1.8760412202832852,-23.45026217070945
1.6210000000000946,-2.184112078246134,-24.95214153829977,-1.99218539775673,-25.035046402147756
1.7210000000000036,-2.3062053000077043,-26.53110949614238,-2.1083106384955834,-26.635480865196474
1.8209999999999127,-2.4079496514932504,-28.054479992383254,-2.223568488186045,-28.2335230910164
1.9220000000000255,-2.523259916486105,-29.611208965427153,-2.339099907539657,-29.84490415226682
2.0210000000001855,-2.59787244089679,-31.13457946008785,-2.4508110880353784,-31.423916488054054
2.1210000000000946,-2.6928338355985595,-32.64683046274424,-2.562022830808345,-33.01820306513343
2.2220000000002074,-2.760663403255591,-34.14796197181614,-2.671888711157056,-34.62895617308436
2.3220000000001164,-2.8488418411886456,-35.70469094486003,-2.778161573586044,-36.22467355423059
2.4220000000000255,-2.875973668248445,-37.127986005951314,-2.880624641809303,-37.82361005869614
2.5210000000001855,-2.943803235890415,-38.6624759941965,-2.9806264601964516,-39.409516831580454
2.6210000000000946,-3.0048498467787303,-40.185846488857194,-3.0806614634417624,-41.017517137685005
2.7210000000000036,-3.065896457667046,-41.75369495469549,-3.1805031083319832,-42.628256648620955
2.8209999999999127,-3.147291938846447,-43.33266291332819,-3.2797503245378428,-44.24200590638192
2.9209999999998217,-3.181206722674962,-44.84491391519449,-3.3785220681061685,-45.85645776237483
