vehicle_east_m,vehicle_north_m,dr_east_m,dr_north_m,position_error_m
0.0,0.0,0.0,0.0,0.0
-0.14922504882137003,-1.5900874514270948,0.0241667611943951,-1.5163164838723937,0.18843268143955272
-0.31201601118017075,-3.2135333796572128,0.04886788206523948,-3.0485583959338958,0.39680464923999237
-0.4680240167551949,-4.836979308677418,0.08345685535048111,-4.579521489002132,0.6086178449654506
-0.6240320223603415,-6.415947267310114,0.10991868799347368,-6.092092989852181,0.8022251792711755
-0.7732570711817115,-7.9615567475596105,0.14085767248343378,-7.630243175252722,0.9723036808429485
-0.9021332497119967,-9.484927242220309,0.17522704007821593,-9.18142206427418,1.1192946828503036
-1.0513582985333667,-11.041656215264206,0.20947958819231627,-10.733717551528782,1.297897683650774
-1.1802344770636521,-12.587265695513704,0.24670788579443664,-12.235979653653251,1.4695463211906623
-1.3158936123475915,-14.132875176553288,0.28329111307677873,-13.699147924180174,1.6569583928034373
-1.4583357044153074,-15.656245671213988,0.32692949420787343,-15.124692647950784,1.8627185632712522
-1.5872118829455926,-17.246333121850995,0.36441588753742377,-16.43551669027685,2.113356155557113
-1.7160880614758778,-18.76970361651169,0.40651197717044163,-17.74236285549592,2.358147570298734
-1.8381812832525088,-20.348671575934475,0.45898544671097646,-19.1163322918161,2.606843895677783
-1.9602745050140788,-21.883161563389574,0.5235567400407206,-20.4742197464845,2.8556145918758444
-2.0823677267756486,-23.42877104363907,0.6016196562783523,-21.854594665301775,3.111562235036958
-2.184112078246134,-24.95214153829977,0.6952316197735271,-23.22685768570769,3.356668661536392
-2.306205300007704,-26.531109496142378,0.8014545005077371,-24.5836461049974,3.6674463998250295
-2.4079496514932504,-28.05447999238325,0.9154674779946192,-25.938036897976122,3.9401056823944467
-2.5232599164861047,-29.61120896542715,1.041121571295717,-27.302512943444285,4.246750841803797
-2.59787244089679,-31.134579460087846,1.1705949477898554,-28.678240517965115,4.498327184430159
-2.6928338355985595,-32.646830462744234,1.3109474838488864,-30.051371157128642,4.771443582508642
-2.7606634032555903,-34.14796197181614,1.457659644577111,-31.439434496952362,5.01302008952373
-2.848841841188645,-35.70469094486003,1.607096702187779,-32.828907674394955,5.303349669881709
-2.875973668248445,-37.12798600595131,1.7514496073028023,-34.20061741392489,5.475630835318993
-2.9438032358904147,-38.6624759941965,1.8928139668397372,-35.56495355465363,5.743475535702826
-3.0048498467787303,-40.185846488857194,2.0434190785579305,-36.989510010939114,5.975080419759179
-3.065896457667046,-41.75369495469549,2.190431354611736,-38.45054088784647,6.208043883501199
-3.1472919388464464,-43.332662913328186,2.3426049873268386,-39.944863769917504,6.451058153210297
-3.1812067226749616,-44.84491391519448,2.4895138590398074,-41.38573516830677,6.64251379515339
-3.235470376779501,-46.401642888238385,2.634712619036712,-42.77881234240254,6.898112029259242
-3.282951074145447,-47.93613287648357,2.7880924319487193,-44.19457210618032,7.131398618136586
-3.350780641772355,-49.54845931191929,2.9517412151050553,-45.61742302828916,7.427976037901176
-3.384695425615932,-51.105188284963184,3.1028276934110135,-46.989405029592305,7.682943968629501
-3.4253931661981016,-52.69527573639028,3.2421580270773576,-48.351993129438306,7.957408040235245
-3.4796568203177016,-54.318721665410486,3.384151360751289,-49.756498674705654,8.241707430103627
-3.506788647377502,-55.89768962404318,3.5100688449649997,-51.13251526559466,8.481932311346181
-3.533920474437302,-57.49889656747458,3.624877413678813,-52.56135069737298,8.696421472206435
-3.5678352582658173,-59.10010351090599,3.7321022494365503,-53.95779353981561,8.929302293860106
-3.5949670853256177,-60.71242994792188,3.856624656595846,-55.362491508516946,9.173225212197435
-3.6220989123703564,-62.3247563833576,3.9901165179404376,-56.74365716821036,9.43898788042335
-3.6424477826765025,-63.9482023131679,4.129251526559768,-58.08338870901349,9.736290297883384
-3.662796652952526,-65.5716482421881,4.277213363476778,-59.445382025478594,10.028703645985056
-3.683145523258672,-67.18397467762382,4.442489801199094,-60.808992662853896,10.327940022807836
-3.683145523258672,-68.80742060664403,4.621491034775086,-62.23393753246221,10.591395946124651
-3.6967114367961025,-70.44198602924872,4.807540989642654,-63.67674689296116,10.866957711509988
-3.689928480012326,-72.07655145027323,5.00166570960747,-65.148572787959,11.114886319819645
-3.689928480012326,-73.72223636488224,5.202058483340672,-66.60868780652795,11.38727382864327
-3.683145523258672,-75.35680178590675,5.424539513287942,-68.13651339824061,11.622499349365508
-3.676362566489957,-77.00248670130584,5.654203058574337,-69.65219313876655,11.877974168145762
-3.683145523258672,-78.64817161512477,5.876970304181874,-71.13493473692641,12.159134139485387
-3.676362566489957,-80.26049805135057,6.097724815297212,-72.5912772663677,12.423756742452115
-3.662796652952526,-81.90618296595957,6.319838154904366,-74.03108912032049,12.714955791691082
-3.656013696213933,-83.52962889576986,6.537866272772725,-75.43265823596373,13.018299531346972
-3.6356648259077873,-85.14195533120558,6.757612960384709,-76.8778553695928,13.278387376431276
-3.6017500420792716,-86.7542817674314,6.9722132495437465,-78.34652354884705,13.509222699872991
-3.5949670853256177,-88.3777276964516,7.172501856521257,-79.83052010535846,13.747477769353813
-3.554269344728387,-89.95669565508429,7.365976474291508,-81.4349814293656,13.851764584075115
-3.5474863879596716,-91.62461955449201,7.534520653890697,-83.0312018731813,14.0234698816336
-3.527137517668587,-93.25918497630661,7.6856196510298975,-84.61790643709513,14.156186566884324
-3.5135716041462173,-94.93822836850873,7.821914009645768,-86.14480994299991,14.346338965274835
-3.4796568203177016,-96.52831581993583,7.941357464610688,-87.67502432389517,14.450617205171692
-3.459307950026617,-98.15176174895603,8.03058360653108,-89.13647956073514,14.60455137670133
-3.4457420365042477,-99.81968564836374,8.092091283363546,-90.56806588115556,14.788984618088175
-3.4321761229969394,-101.44313157738395,8.131753579937694,-92.02166584947672,14.916047956363792
-3.405044295907017,-103.08881649199296,8.162432562964305,-93.41794423205133,15.077542609743542
-3.398261339138301,-104.72338191380756,8.19054400351006,-94.85188187570634,15.22323626145333
